Player,salary,inf_adj_salary,year
DeMarcus Cousins,13701250.0,17033565.0,2015
John Wall,13701250.0,17033565.0,2015
Al Jefferson,13500000.0,16783368.0,2015
Eric Bledsoe,13000000.0,16161762.0,2015
Nenê,13000000.0,16161762.0,2015
Andrew Bogut,12972973.0,16128162.0,2015
Derrick Favors,12950000.0,16099602.0,2015
Rajon Rondo,12909090.0,16048742.0,2015
Joakim Noah,12700000.0,15788798.0,2015
Tony Parker,12500000.0,15540156.0,2015
Andre Iguodala,12289544.0,15278514.0,2015
Serge Ibaka,12250000.0,15229353.0,2015
Nikola Pekovic,12100000.0,15042871.0,2015
Al Horford,12000000.0,14918550.0,2015
David West,12000000.0,14918550.0,2015
Kevin Garnett,12000000.0,14918550.0,2015
Andrea Bargnani,12000000.0,14918550.0,2015
Kyle Lowry,12000000.0,14918550.0,2015
Ty Lawson,11595506.0,14415678.0,2015
DeAndre Jordan,11440123.0,14222504.0,2015
Nicolas Batum,11390500.0,14160812.0,2015
Tyreke Evans,11265416.0,14005306.0,2015
JaVale McGee,11250000.0,13986140.0,2015
Larry Sanders,11000000.0,13675337.0,2015
Jrue Holiday,11000000.0,13675337.0,2015
Danilo Gallinari,10854850.0,13494885.0,2015
Stephen Curry,10629213.0,13214370.0,2015
Marcin Gortat,10434782.0,12972651.0,2015
Tim Duncan,10361446.0,12881479.0,2015
Gerald Wallace,10105855.0,12563725.0,2015
Anderson Varejao,9800000.0,12183482.0,2015
Brendan Haywood,9798000.0,12180996.0,2015
Luol Deng,9714461.0,12077139.0,2015
Steve Nash,9701000.0,12060404.0,2015
Kendrick Perkins,9588889.0,11921026.0,2015
Paul Millsap,9500000.0,11810518.0,2015
DeMar DeRozan,9500000.0,11810518.0,2015
Tyrus Thomas,9460664.0,11761615.0,2015
Mike Miller,9332000.0,11601658.0,2015
Tiago Splitter,9250000.0,11499715.0,2015
Jeff Green,9200000.0,11437555.0,2015
Thaddeus Young,9160870.0,11388908.0,2015
Lance Stephenson,9000000.0,11188912.0,2015
Jordan Hill,9000000.0,11188912.0,2015
Mike Conley,8760000.0,10890541.0,2015
Monta Ellis,8720000.0,10840813.0,2015
Marcus Thornton,8697500.0,10812840.0,2015
Trevor Ariza,8600000.0,10691627.0,2015
Channing Frye,8579088.0,10665629.0,2015
Landry Fields,8500000.0,10567306.0,2015
Ryan Anderson,8491500.0,10556739.0,2015
Marcus Camby,8354416.0,10386314.0,2015
Drew Gooden,8128490.0,10105439.0,2015
Jeff Teague,8000000.0,9945700.0,2015
Taj Gibson,8000000.0,9945700.0,2015
Brandon Jennings,8000000.0,9945700.0,2015
George Hill,8000000.0,9945700.0,2015
OJ Mayo,8000000.0,9945700.0,2015
Boris Diaw,8000000.0,9945700.0,2015
Dirk Nowitzki,7974482.0,9913975.0,2015
Ersan Ilyasova,7900000.0,9821378.0,2015
Glen Davis,7827985.0,9731848.0,2015
Tayshaun Prince,7707865.0,9582514.0,2015
Al Harrington,7609800.0,9460598.0,2015
Arron Afflalo,7562500.0,9401794.0,2015
Goran Dragic,7500000.0,9324093.0,2015
Kyrie Irving,7459924.0,9274270.0,2015
Josh Childress,7317500.0,9097207.0,2015
Wesley Matthews,7245640.0,9007870.0,2015
Isaiah Thomas,7238606.0,8999125.0,2015
Avery Bradley,7191011.0,8939954.0,2015
Pau Gasol,7128000.0,8861618.0,2015
Jose Calderon,7097191.0,8823316.0,2015
Travis Outlaw,7000000.0,8702487.0,2015
Marvin Williams,7000000.0,8702487.0,2015
Manu Ginobili,7000000.0,8702487.0,2015
Amir Johnson,7000000.0,8702487.0,2015
