player_name,season,team,mp,raptor_offense,raptor_defense,raptor_total,war_total,salary,inf_adj_salary,player_val,3_year_average_val,lr_average_val
Kostas Antetokounmpo,2019,DAL,11,-14.31,24.44,10.13,0.07,77250.0,90837.0,314432.04,314432.04,314432.04
Kostas Antetokounmpo,2020,LAL,20,2.6,-4.34,-1.73,0.01,79568.0,92045.0,50670.24,182551.14,182551.14
Kostas Antetokounmpo,2021,LAL,56,-10.63,6.31,-4.32,-0.05,449115.0,516211.0,-243499.39,40534.3,40534.3
Thanasis Antetokounmpo,2016,NYK,6,11.44,-19.02,-7.59,-0.01,30887.0,38351.0,-41610.61,-41610.61,-41610.61
Thanasis Antetokounmpo,2020,MIL,129,-2.23,0.18,-2.05,0.05,1445697.0,1672409.0,227411.55,227411.55,92900.47
Thanasis Antetokounmpo,2021,MIL,551,-2.85,1.95,-0.9,0.52,1701593.0,1955805.0,2773179.11,1500295.33,986326.68
Thanasis Antetokounmpo,2022,MIL,473,-3.01,-0.66,-3.67,-0.22,1729217.0,1885879.0,-1100285.62,633435.01,464673.61
Carmelo Anthony,2014,NYK,2982,4.17,-0.39,3.78,9.86,21490000.0,27270296.0,23849696.89,23849696.89,23849696.89
Carmelo Anthony,2015,NYK,1428,3.75,-2.46,1.29,2.92,22458401.0,27920565.0,7471770.08,15660733.48,15660733.48
Carmelo Anthony,2016,NYK,2530,3.45,-2.74,0.71,4.46,22875000.0,28403331.0,12508546.31,14610004.43,14610004.43
Carmelo Anthony,2017,NYK,2538,1.93,-3.11,-1.18,2.03,24559380.0,30193655.0,7201594.89,9060637.09,12757902.04
Carmelo Anthony,2018,OKC,2501,1.25,-1.87,-0.62,2.7,26243760.0,31745891.0,10841237.95,10183793.05,12374569.22
Carmelo Anthony,2019,HOU,294,-2.51,-2.63,-5.13,-0.36,2393887.0,2814944.0,-1534531.45,5502767.13,10056385.78
Carmelo Anthony,2020,POR,1902,-1.21,-2.94,-4.15,-1.34,2159029.0,2497605.0,-6561879.4,914942.37,7682347.9
Carmelo Anthony,2021,POR,1690,0.32,-2.67,-2.35,0.34,2564753.0,2947918.0,1795932.44,-2100159.47,6946545.96
Carmelo Anthony,2022,LAL,1793,0.12,-1.8,-1.68,0.98,2641691.0,2881021.0,4829123.27,21058.77,6711276.78
Cole Anthony,2021,ORL,1273,-2.12,-3.02,-5.14,-1.54,3285120.0,3775905.0,-8191719.19,-8191719.19,-8191719.19
Cole Anthony,2022,ORL,2059,-0.12,-1.96,-2.08,0.7,3449400.0,3761907.0,3443227.89,-2374245.65,-2374245.65
Joel Anthony,2014,BOS,149,-4.13,-0.3,-4.44,-0.13,3800000.0,4822109.0,-308309.01,-471326.11,-471326.11
Joel Anthony,2014,MIA,37,-5.44,-0.95,-6.4,-0.07,3800000.0,4822109.0,-163017.1,-471326.11,-471326.11
Joel Anthony,2015,DET,406,-2.55,1.86,-0.69,0.42,3800000.0,4724207.0,1084802.45,306738.17,306738.17
Joel Anthony,2016,DET,96,-2.64,-3.16,-5.8,-0.15,2500000.0,3104189.0,-417551.96,65308.13,65308.13
Joel Anthony,2017,SAS,122,-5.86,1.89,-3.97,-0.08,663810.0,816097.0,-266467.19,133594.43,-17635.7
Pero Antic,2014,ATL,925,-1.09,-0.32,-1.41,0.64,1200000.0,1522771.0,1544534.58,1544534.58,1544534.58
Pero Antic,2015,ATL,1037,-1.33,1.13,-0.19,1.36,1250000.0,1554015.0,3474149.54,2509342.06,2509342.06
OG Anunoby,2018,TOR,1481,-1.12,1.78,0.66,2.57,1645200.0,1990124.0,10309870.9,10309870.9,10309870.9
OG Anunoby,2019,TOR,1352,-3.35,-0.3,-3.65,-0.62,1952760.0,2296228.0,-2664948.14,3822461.38,3822461.38
OG Anunoby,2020,TOR,2066,-0.83,1.78,0.95,3.9,2281800.0,2639628.0,19060964.89,8901962.55,8901962.55
OG Anunoby,2021,TOR,1433,0.18,2.28,2.47,3.82,3872215.0,4450710.0,20287705.65,12227907.47,11748398.32
OG Anunoby,2022,TOR,1728,0.18,-0.59,-0.41,2.06,16071429.0,17527461.0,10151982.99,16500217.84,11429115.26
Keith Appling,2016,ORL,27,-11.16,6.69,-4.47,-0.02,61775.0,76704.0,-67790.95,-67790.95,-67790.95
Ryan Arcidiacono,2018,CHI,304,-2.86,-0.86,-3.72,-0.15,77250.0,93445.0,-598036.65,-598036.65,-598036.65
Ryan Arcidiacono,2019,CHI,1961,-0.09,-0.4,-0.49,2.23,1349383.0,1586724.0,9570692.87,4486328.11,4486328.11
Ryan Arcidiacono,2020,CHI,930,-0.93,2.02,1.09,1.82,3000000.0,3470455.0,8907458.74,5960038.32,5960038.32
Ryan Arcidiacono,2021,CHI,450,-0.07,0.49,0.42,0.72,3000000.0,3448189.0,3827165.72,7435105.78,5426820.17
Ryan Arcidiacono,2022,NYK,76,-4.22,5.77,1.54,0.17,774727.0,844915.0,823041.29,4519221.92,4506064.39
Trevor Ariza,2014,WAS,2723,0.95,0.73,1.68,6.24,7727280.0,9805733.0,15094708.13,15094708.13,15094708.13
Trevor Ariza,2015,HOU,2930,-0.06,0.33,0.27,4.52,8600000.0,10691627.0,11543576.61,13319142.37,13319142.37
Trevor Ariza,2016,HOU,2859,0.66,-1.15,-0.49,3.3,8200000.0,10181740.0,9259605.78,11965963.51,11965963.51
Trevor Ariza,2017,HOU,2773,1.23,0.87,2.1,6.9,7800000.0,9589432.0,24443509.96,15082230.78,15085350.12
Trevor Ariza,2018,HOU,2269,0.46,-1.01,-0.55,2.55,7400000.0,8951445.0,10230626.88,14644580.87,14114405.47
Trevor Ariza,2019,PHO,884,-1.45,-2.09,-3.54,-0.36,15000000.0,17638329.0,-1526196.24,12503244.23,12234603.87
Trevor Ariza,2019,WAS,1465,0.51,-1.91,-1.4,1.01,15000000.0,17638329.0,4361792.09,12503244.23,12234603.87
Trevor Ariza,2020,POR,702,-0.16,1.0,0.84,1.29,12200000.0,14113187.0,6291508.51,7249921.94,11727309.47
Trevor Ariza,2020,SAC,791,-2.95,1.42,-1.53,0.49,12200000.0,14113187.0,2392034.58,7249921.94,11727309.47
Trevor Ariza,2021,MIA,841,-0.99,2.58,1.6,1.86,12800000.0,14712276.0,9899194.09,7139444.34,11498795.05
Trevor Ariza,2022,LAL,462,-4.04,-0.46,-4.5,-0.41,2641691.0,2881021.0,-2015423.0,5522438.06,9997215.27
Hilton Armstrong,2014,GSW,97,-0.71,-0.27,-0.98,0.09,296138.0,375792.0,213129.75,213129.75,213129.75
Metta World Peace,2014,NYK,388,-1.24,2.65,1.41,0.82,9317280.0,11823405.0,1983340.74,1983340.74,1983340.74
Metta World Peace,2016,LAL,590,-2.55,0.28,-2.27,0.14,1499187.0,1861504.0,402354.82,1192847.78,1192847.78
Metta World Peace,2017,LAL,160,-5.39,-2.33,-7.72,-0.41,1551659.0,1907631.0,-1440144.41,-518894.79,315183.72
Darrell Arthur,2014,DEN,1161,-3.63,1.89,-1.74,0.6,3231683.0,4100928.0,1455191.9,1455191.9,1455191.9
Darrell Arthur,2015,DEN,988,-3.3,4.66,1.36,2.09,3457149.0,4297970.0,5340827.96,3398009.93,3398009.93
Darrell Arthur,2016,DEN,1516,-1.88,1.76,-0.12,2.04,2814000.0,3494075.0,5722751.24,4172923.7,4172923.7
Darrell Arthur,2017,DEN,639,-1.51,-0.66,-2.16,0.19,8070175.0,9921589.0,683529.82,3915703.01,3300575.23
Darrell Arthur,2018,DEN,141,-5.42,-4.14,-9.56,-0.5,7464912.0,9029966.0,-2000368.67,1468637.46,2240386.45
Jamel Artis,2018,ORL,279,-3.85,-3.39,-7.24,-0.63,77250.0,93445.0,-2538008.86,-2538008.86,-2538008.86
Omer Asik,2014,HOU,968,-2.53,2.3,-0.23,1.25,5225000.0,6630400.0,3014136.63,3014136.63,3014136.63
